Theta,V
3.0,151.0
3.1,132.0
3.2,104.0
3.3,73.0
3.4,56.0
3.5,36.0
3.6,16.0
3.7,10.0
3.8,4.0
3.9,5.0
4.0,6.0
4.1,4.0
4.2,6.0
4.3,5.0
4.4,5.0
4.5,6.0
4.6,4.0
4.7,5.0
4.8,2.0
4.9,5.0
5.0,5.0
5.1,4.0
5.2,3.0
5.3,3.0
5.4,3.0
5.5,3.0
5.6,3.0
5.7,3.0
5.8,3.0
5.9,3.0
6.0,5.0
6.1,7.0
6.2,6.0
6.3,9.0
6.4,12.0
6.5,15.0
6.6,24.0
6.7,28.0
6.8,37.0
6.9,42.0
7.0,45.0
7.1,48.0
7.2,56.0
7.3,53.0
7.4,51.0
7.5,69.0
7.6,74.0
7.7,73.0
7.8,70.0
7.9,79.0
8.0,82.0
8.1,85.0
8.2,87.0
8.3,86.0
8.4,84.0
8.5,88.0
8.6,91.0
8.7,96.0
8.8,99.0
8.9,95.0
9.0,95.0
9.1,101.0
9.2,98.0
9.3,97.0
9.4,94.0
9.5,96.0
9.6,100.0
9.7,91.0
9.8,91.0
9.9,86.0
10.0,89.0
10.1,81.0
10.2,76.0
10.3,84.0
10.4,80.0
10.5,82.0
10.6,85.0
10.7,79.0
10.8,81.0
