Theta,V
3.0,367.0
3.1,351.0
3.2,245.0
3.3,196.0
3.4,151.0
3.5,93.0
3.6,58.0
3.7,36.0
3.8,31.0
3.9,25.0
4.0,20.0
4.1,21.0
4.2,21.0
4.3,19.0
4.4,15.0
4.5,14.0
4.6,13.0
4.7,15.0
4.8,21.0
4.9,21.0
5.0,24.0
5.1,32.0
5.2,35.0
5.3,45.0
5.4,52.0
5.5,55.0
5.6,68.0
5.7,71.0
5.8,83.0
5.9,83.0
6.0,97.0
6.1,94.0
6.2,100.0
6.3,114.0
6.4,130.0
6.5,152.0
6.6,163.0
6.7,155.0
6.8,171.0
6.9,169.0
7.0,172.0
7.1,237.0
7.2,280.0
7.3,339.0
7.4,386.0
7.5,376.0
7.6,444.0
7.7,491.0
7.8,228.0
7.9,183.0
8.0,186.0
8.1,184.0
8.2,184.0
8.3,186.0
8.4,184.0
8.5,182.0
8.6,186.0
8.7,191.0
8.8,182.0
8.9,190.0
9.0,187.0
9.1,194.0
9.2,186.0
9.3,182.0
9.4,192.0
9.5,192.0
9.6,181.0
9.7,174.0
9.8,175.0
9.9,153.0
