Theta,V
3.0,586.0
3.1,537.0
3.2,402.0
3.3,306.0
3.4,223.0
3.5,156.0
3.6,97.0
3.7,68.0
3.8,60.0
3.9,53.0
4.0,50.0
4.1,47.0
4.2,37.0
4.3,40.0
4.4,42.0
4.5,43.0
4.6,48.0
4.7,56.0
4.8,64.0
4.9,65.0
5.0,74.0
5.1,83.0
5.2,90.0
5.3,104.0
5.4,116.0
5.5,118.0
5.6,131.0
5.7,131.0
5.8,131.0
5.9,143.0
6.0,135.0
6.1,140.0
6.2,140.0
6.3,174.0
6.4,182.0
6.5,216.0
6.6,223.0
6.7,223.0
6.8,252.0
6.9,263.0
7.0,266.0
7.1,353.0
7.2,420.0
7.3,540.0
7.4,624.0
7.5,557.0
7.6,720.0
7.7,758.0
7.8,327.0
7.9,226.0
8.0,238.0
8.1,233.0
8.2,231.0
8.3,218.0
8.4,235.0
8.5,236.0
8.6,237.0
8.7,228.0
8.8,207.0
8.9,221.0
9.0,233.0
9.1,228.0
9.2,234.0
9.3,249.0
9.4,233.0
9.5,236.0
9.6,228.0
