Theta,V
3.0,234.0
3.1,224.0
3.2,161.0
3.3,121.0
3.4,85.0
3.5,59.0
3.6,34.0
3.7,18.0
3.8,15.0
3.9,14.0
4.0,10.0
4.1,11.0
4.2,9.0
4.3,8.0
4.4,10.0
4.5,9.0
4.6,4.0
4.7,9.0
4.8,9.0
4.9,6.0
5.0,8.0
5.1,7.0
5.2,9.0
5.3,13.0
5.4,9.0
5.5,18.0
5.6,23.0
5.7,25.0
5.8,29.0
5.9,32.0
6.0,37.0
6.1,40.0
6.2,49.0
6.3,60.0
6.4,71.0
6.5,69.0
6.6,82.0
6.7,89.0
6.8,101.0
6.9,116.0
7.0,113.0
7.1,133.0
7.2,148.0
7.3,184.0
7.4,213.0
7.5,188.0
7.6,226.0
7.7,261.0
7.8,160.0
7.9,133.0
8.0,134.0
8.1,134.0
8.2,143.0
8.3,143.0
8.4,151.0
8.5,145.0
8.6,144.0
8.7,147.0
8.8,152.0
8.9,150.0
9.0,157.0
9.1,151.0
9.2,158.0
9.3,152.0
9.4,160.0
9.5,145.0
9.6,147.0
9.7,142.0
